id;budget;genres;imdb_id;original_language;original_title;overview;popularity;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;status;tagline;title;vote_average;vote_count;production_companies_number;production_countries_number;spoken_languages_number
278;25000000;Drama|Crime;tt0111161;en;The Shawshank Redemption;Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.;107.546;Castle Rock Entertainment;United States of America;23/09/1994;28341469;142;English;Released;Fear can hold you prisoner. Hope can set you free.;The Shawshank Redemption;8.5;7711;1;1;1
244786;3300000;Music|Drama;tt2582802;en;Whiplash;Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.;13.359.441;Bold Films;United States of America;10/10/2014;13092000;105;English;Released;The road to greatness can take you to the edge.;Whiplash;8.3;3880;3;1;1
155;185000000;Drama|Action|Crime|Thriller;tt0468569;en;The Dark Knight;Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.;14.074.094;DC Comics;United Kingdom;16/07/2008;1004558444;152;English;Released;Why So Serious?;The Dark Knight;8.2;11168;5;2;2
550;63000000;Drama;tt0137523;en;Fight Club;"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.";14.496.498;Regency Enterprises;Germany;15/10/1999;100853753;139;English;Released;Mischief. Mayhem. Soap.;Fight Club;8.2;8638;6;2;1
13;55000000;Comedy|Drama|Romance;tt0109830;en;Forrest Gump;A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.;10.351.236;Paramount Pictures;United States of America;06/07/1994;677945399;142;English;Released;The world will never be the same, once you've seen it through the eyes of Forrest Gump.;Forrest Gump;8.2;7204;1;1;1
637;20000000;Comedy|Drama;tt0118799;it;La vita è bella;A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.;5.469.541;Miramax Films;Italy;20/12/1997;229400000;116;English;Released;An unforgettable fable that proves love, family and imagination conquer all.;Life Is Beautiful;8.2;3143;2;1;3
77338;13000000;Drama|Comedy;tt1675434;fr;Intouchables;A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.;6.586.965;Gaumont;France;02/11/2011;426480871;112;English;Released;Sometimes you have to reach into someone else's world to find out what's missing in your own.;The Intouchables;8.2;4744;8;1;2
680;8000000;Thriller|Crime;tt0110912;en;Pulp Fiction;A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.;12.735.739;Miramax Films;United States of America;08/10/1994;213928762;154;English;Released;Just because you are a character doesn't mean you have character.;Pulp Fiction;8.2;7761;3;1;3
157336;165000000;Adventure|Drama|Science Fiction;tt0816692;en;Interstellar;Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.;39.623.834;Paramount Pictures;Canada;05/11/2014;675120017;169;English;Released;Mankind was born on Earth. It was never meant to die here.;Interstellar;8.1;9893;5;3;1
27205;160000000;Action|Thriller|Science Fiction|Mystery|Adventure;tt1375666;en;Inception;"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.";1.477.922;Legendary Pictures;United Kingdom;14/07/2010;825532764;148;English;Released;Your mind is the scene of the crime.;Inception;8.1;12811;3;2;3
122;94000000;Adventure|Fantasy|Action;tt0167260;en;The Lord of the Rings: The Return of the King;Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.;10.166.865;WingNut Films;New Zealand;01/12/2003;1118888979;201;English;Released;The eye of the enemy is moving.;The Lord of the Rings: The Return of the King;8.1;7540;2;2;1
807;33000000;Crime|Mystery|Thriller;tt0114369;en;Se7en;"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.";8.999.615;New Line Cinema;United States of America;22/09/1995;327311859;127;English;Released;Seven deadly sins. Seven ways to die.;Se7en;8.1;5264;3;1;1
73;20000000;Drama;tt0120586;en;American History X;Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.;7.129.597;New Line Cinema;United States of America;30/10/1998;23875127;119;English;Released;Some Legacies Must End.;American History X;8.1;2747;3;1;1
101;16000000;Thriller|Crime|Drama;tt0110413;fr;Léon;"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.";7.638.498;Columbia Pictures;France;14/09/1994;45284974;110;English;Released;If you want a job done well, hire a professional.;Leon: The Professional;8.1;3868;2;2;1
77;9000000;Mystery|Thriller;tt0209144;en;Memento;Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.;7.983.032;Summit Entertainment;United States of America;11/10/2000;39723096;113;English;Released;Some memories are best forgotten.;Memento;8.1;3632;4;1;1
264644;6000000;Drama|Thriller;tt3170832;en;Room;Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?;4.959.746;Téléfilm Canada;Canada;16/10/2015;35401758;117;English;Released;Love knows no boundaries;Room;8.1;2517;8;2;1
14002;4000000;Documentary;tt0103767;en;Baraka;This is a paralyzingly beautiful documentary with a global vision: an odyssey through landscape and time, that is an attempt to capture the essence of life.;1.626.101;Magidson Films;United States of America;15/09/1992;0;96;English;Released;A world beyond words.;Baraka;8.1;146;1;1;1
