Abdellatif Kechiche;"  (french: [abdublatif keuiu]; tunisian arabic: uuuf uuuuuau uuuauue, born  december ) is a tunisian-french actor, film director and screenwriter. he made his directorial debut in  with la faute ue voltaire, which he also wrote. his film blue is the warmest colour won the palme d'or at the  cannes film festival."
Abel Gance;"  (french: [guus];  october  u  november ) was a french film director and producer, writer and actor. a pioneer in the theory and practice of montage, he is best known for three major silent films: j'accuse (), la roue (), and the monumental napolueon ()."
Agnès Varda;"agnues  (french: [auubs vauda]; born  may ) is a film director who was born in belgium, but has spent most of her working life in france. her films, photographs, and art installations focus on documentary realism, feminist issues, and social commentary with a distinct experimental style.nfilm historians have cited 's work as central to the development of the french new wave film movement; her uses of location shooting and non-professional actors were unconventional in the context of s french cinema."
Aki Kaurismäki;" olavi kaurismueki (finnish: [ucuki uckuurismueki]; born  april ) is a finnish screenwriter and film director.nn"
Akira Kurosawa;"  (ueduca ue, march ,  u september , ) was a japanese film director and screenwriter. regarded as one of the most important and influential filmmakers in the history of cinema, he directed  films in a career spanning  years.n entered the japanese film industry in , following a brief stint as a painter. after years of working on numerous films as an assistant director and scriptwriter, he made his debut as a director during world war ii with the popular action film sanshiro sugata (a.k.a. judo saga). after the war, the critically acclaimed drunken angel (), in which  cast then-unknown actor toshiro mifune in a starring role, cemented the director's reputation as one of the most important young filmmakers in japan. the two men would go on to collaborate on another  films.nrashomon, which premiered in tokyo, became the surprise winner of the golden lion at the  venice film festival. the commercial and critical success of that film opened up western film markets for the first time to the products of the japanese film industry, which in turn led to international recognition for other japanese filmmakers. throughout the s and early s,  directed approximately a film a year, including a number of highly regarded (and often adapted) films, such as ikiru (), seven samurai () and yojimbo (). after the s, he became much less prolific, though his later workuincluding his final two epics, kagemusha () and ran ()ucontinued to win awards though more often abroad than in japan.nin , he accepted the academy award for lifetime achievement. posthumously, he was named ""asian of the century"" in the ""arts, literature, and culture"" category by asianweek magazine and cnn, cited there as being among the five people who most prominently contributed to the improvement of asia in the past century. his career has been honored by many retrospectives, critical studies and biographies in both print and video, and by releases in many consumer media formats."
Alain Cavalier;"  (french: [kavalje]; born  september ) is a french film director.nn"
Alain Resnais;"  (french: [alubu uubnub];  june  u  march ) was a french film director and screenwriter whose career extended over more than six decades. after training as a film editor in the mid-s, he went on to direct a number of short films which included night and fog (), an influential documentary about the nazi concentration camps.n began making feature films in the late s and consolidated his early reputation with hiroshima mon amour (), last year at marienbad (), and muriel (), all of which adopted unconventional narrative techniques to deal with themes of troubled memory and the imagined past. these films were contemporary with, and associated with, the french new wave (la nouvelle vague), though  did not regard himself as being fully part of that movement. he had closer links to the ""left bank"" group of authors and filmmakers who shared a commitment to modernism and an interest in left-wing politics. he also established a regular practice of working on his films in collaboration with writers previously unconnected with the cinema such as jean cayrol, marguerite duras,  robbe-grillet, jorge semprufan and jacques sternberg.nin later films,  moved away from the overtly political topics of some previous works and developed his interests in an interaction between cinema and other cultural forms, including theatre, music, and comic books. this led to imaginative adaptations of plays by alan ayckbourn, henri bernstein and jean anouilh, as well as films featuring various kinds of popular song.nhis films frequently explore the relationship between consciousness, memory, and the imagination, and he was noted for devising innovative formal structures for his narratives. throughout his career, he won many awards from international film festivals and academies."
Alain Robbe-Grillet;"  (french: [a.lubu uub uui.jub];  august  u  february ) was a french writer and filmmaker. he was one of the figures most associated with the nouveau roman (new novel) trend of the s, along with nathalie sarraute, michel butor and claude simon.   was elected a member of the acaduemie franueaise on  march , succeeding maurice rheims at seat no. . he was married to catherine  (nuee rstakian)."
Alan Crosland;  (august ,  u july , ) was an american stage actor and film director.
Albert Lamorisse;"  (french: [lamuuis];  january  u  june ) was a french filmmaker, film producer, and writer, who is best known for his award-winning short films which he began making in the late s, and also for inventing the famous strategic board game risk in ."
Albert Lewin;  (september ,  u may , ) was an american film director, producer, and screenwriter.nhe was born in brooklyn, new york and raised in newark, new jersey. he earned a master's degree at harvard and taught english at the university of missouri. during world war i, he served in the military and was afterwards appointed assistant national director of the american jewish relief committee. he later became a drama and film critic for the jewish tribune until the early s, when he went to hollywood to become a reader for samuel goldwyn. later he worked as a script clerk for directors king vidor and victor sjufstrufm before becoming a screenwriter at mgm in .n was appointed head of the studio's script department and by the late s was irving thalberg's personal assistant and closest associate. nominally credited as an associate producer, he produced several of mgm's most important films of the s. after thalberg's death, he joined paramount as a producer in , where he remained until . notable producing credits during this period include true confession (), spawn of the north (), zaza () and so ends our night ().nin ,  began to direct. he made six films, writing all of them and producing several himself. as a director and writer, he showed literary and cultural aspirations in the selection and treatment of his themes. in ,  published a novel, the unaltered cat.
Alejandro Amenábar; fernando amenuebar cantos (born march , ), commonly known as  amenuebar, is a spanish and chilean film director, screenwriter and composer. among other honors, he has won nine goyas, two european film awards and an oscar. he has written or co-written the screenplays to all six of his movies and composed almost all of the soundtracks.
Alejandro González Iñárritu;" gonzuelez iufuerritu (american spanish: [aleucxandueo gonucsales iucuaritu]; credited since  as  g. iufuerritu; born august , ) is a mexican film director, producer, and screenwriter. he is the first mexican director to be nominated for the academy award for best director and the directors guild of america award for outstanding directing for babel ().nhe won the academy award for best director, best original screenplay, and best picture for birdman or (the unexpected virtue of ignorance) (). the following year, he won the academy award for best director for the revenant (). he is friends with fellow mexican directors guillermo del toro and alfonso cuarufn, collectively known as ""the three amigos of cinema."""
Alejandro Jodorowsky;"  prullansky (spanish: [aleucxandueo xoufoucueofski]; born  february ) is a chilean-french film and theatre director, screenwriter, playwright, actor, author, poet, producer, composer, musician, comics writer, and spiritual guru. best known for his avant-garde films, he has been ""venerated by cult cinema enthusiasts"" for his work which ""is filled with violently surreal images and a hybrid blend of mysticism and religious provocation"".nborn to jewish-ukrainian parents in chile,  experienced an unhappy and alienated childhood, and so immersed himself in reading and writing poetry. dropping out of college, he became involved in theater and in particular mime, working as a clown before founding his own theater troupe, the teatro mimico, in . moving to paris in the early s,  studied mime under uctienne decroux before turning to cinema, directing the short film les tueates interverties in . from  he divided his time between paris and mexico city, in the former becoming a founding member of the anarchistic avant-garde panic movement of performance artists. in  he created his first comic strip, anibal , while in  he directed his first feature film, the surrealist fando y lis, which caused a huge scandal in mexico, eventually being banned.nhis next film, the acid western el topo (), became a hit on the midnight movie circuit in the united states, considered as the first-ever midnight cult film, garnering high praise from john lennon, which led to  being provided with $ million to finance his next film. the result was the holy mountain (), a surrealist exploration of western esotericism. disagreements with the film's distributor allen klein, however, led to both the holy mountain and el topo failing to gain widespread distribution, although both became classics on the underground film circuit.nafter an aborted attempt at filming frank herbert's  science fiction novel dune,  produced five more films: the family film tusk (); the surrealist horror santa sangre (); the failed blockbuster the rainbow thief (); the dance of reality () and poesueda sin fin (). meanwhile, he has simultaneously written a series of science fiction comic books, most notably the incal (u), which has been described as having a claim to be ""the best comic book"" ever written, and also the technopriests and metabarons. accompanying this, he has also written books and regularly lectures on his own spiritual system, which he calls ""psychomagic"" and ""psychoshamanism"" and which borrows from his interests in alchemy, the tarot, zen buddhism and shamanism. his son cristufbal has followed his teachings on psychoshamanism; this work is captured in the feature documentary quantum men, directed by carlos serrano azcona."
Aleksa Gajic, Nebojsa Andric, Stevan Djordjevic;
Aleksandr Dovzhenko;"alexander petrovich  or oleksander petrovych  (ukrainian: ueubuuauuuduu ufuuuueuuu uueuuuuduaue, oleksandr petrovych ; russian: uubuuauuuuduu ufuuuueuuuu uueuuuuuduaue,  petrovich ; september  [o.s. august ]  u november , ), was a soviet screenwriter, film producer and director of ukrainian origin. he is often cited as one of the most important early soviet filmmakers, alongside sergei eisenstein, dziga vertov, and vsevolod pudovkin, as well as being a pioneer of soviet montage theory.nn"
Aleksandr Sokurov;"alexander nikolayevich , par (russian: uubuuauuuuduu uduuaueubuuuuuu uueuauuuueu; born  june ) is a russian filmmaker. his most significant works include a feature film, russian ark (), filmed in a single unedited shot, and faust (), which was honoured with the golden lion, the highest prize for the best film at the venice film festival."
Alex Garland;"ander """" medawar  (born  may ) is an english novelist, screenwriter, film producer and director. he rose to prominence as a novelist in the late s with his novel the beach which received universal acclaim with many critics lauding  as a key voice of generation x. he subsequently received praise for the screenplays of the films  days later (), sunshine (), never let me go () and dredd ().nin ,  made his directorial debut with ex machina, a science fiction thriller which explored the relationship between mankind and artificial intelligence. us screenplay received critical acclaim and was nominated for the academy award for best original screenplay."
Alex Gibney;"philip ander """"  (born october , ) is an american documentary film director and producer. in , esquire magazine said  ""is becoming the most important documentarian of our time"".nhis works as director include going clear: scientology and the prison of belief (winner of three emmys in ), we steal secrets: the story of wikileaks, mea maxima culpa: silence in the house of god (the winner of three primetime emmy awards), enron: the smartest guys in the room (nominated in  for academy award for best documentary feature); client : the rise and fall of eliot spitzer (short-listed in  for the academy award for best documentary feature); casino jack and the united states of money; and taxi to the dark side (winner of the  academy award for best documentary feature), focusing on an innocent taxi driver in afghanistan who was tortured and killed at bagram air force base in ."
Alex Proyas;"ander """"  (; born  september ) is an australian film director, screenwriter, and producer.  is best known for directing the films the crow (), dark city (), i, robot (), knowing (), and gods of egypt ()."
Alex Rivera;  (born new york city, ) is an american film maker, best known for his films about labor, immigration, and politics.
Alex Van Warmerdam;   (born  august ) is a dutch screenwriter, film director, and actor. he is also a painter.
Alexandre Medvedkine;
Alfonso Cuarón;" cuarufn orozco (spanish pronunciation: [alucfonso kwaucueon]; born november , ) is a mexican film director, screenwriter, producer, and editor best known for his dramas a little princess () and y tu mamue tambiuen (), the fantasy film harry potter and the prisoner of azkaban (), and science fiction thrillers children of men () and gravity (). cuarufn is the first latin american director to win an oscar for best director.nmost of his work has been praised by both audiences and critics, and has been nominated for six academy awards including best original screenplay for y tu mamue tambiuen, and both best adapted screenplay and best film editing for children of men. for gravity, cuarufn received several major accolades for his achievement in direction, winning in the respective categories at the academy awards, the golden globe awards, the bafta awards and the directors guild of america; and in addition winning the bafta award best british film and the academy award for best film editing (shared with mark sanger). he has also been awarded the bafta award for best film not in the english language as one of the producers of pan's labyrinth ().ncuarufn's brother carlos, as well as his son jonues, are also writers and directors and have both acted as co-writers in some of his works. he is also friends with fellow mexican directors guillermo del toro and alejandro gonzuelez iufuerritu, collectively known as ""the three amigos of cinema."""
Alfred Hitchcock;"sir  joseph  kbe ( august  u  april ) was an english film director and producer, referred to as the ""master of suspense"". he pioneered many elements of the suspense and psychological thriller genres. he had a successful career in british cinema with both silent films and early talkies and became renowned as england's best director.  moved to hollywood in , and became a u.s. citizen in .n became a highly visible public figure through interviews, film trailers, cameo appearances in his own films, and the ten years in which he hosted the television programme   presents (u). he also fashioned for himself a recognisable directorial style, and the term ian is now often used to refer to his style of filmmaking. 's stylistic trademarks include the use of camera movement that mimics a person's gaze, forcing viewers to engage in a form of voyeurism. in addition, he framed shots to maximise anxiety, fear, or empathy, and used innovative forms of film editing. his work often features fugitives on the run alongside ""icy blonde"" female characters.nprior to , there had long been talk of  being knighted for his contribution to film. he later received his knighthood from queen elizabeth ii in the  new year honours. he directed more than fifty feature films in a career spanning six decades and is often regarded as one of the most influential directors in cinematic history. his first thriller, the lodger: a story of the london fog (), helped shape the thriller genre in film. his  film, blackmail, is often cited as the first british sound feature film, while rear window (), vertigo (), north by northwest () and psycho () are regularly ranked among the greatest films of all time. he is considered to be one of the greatest and most influential directors in the history of cinema."
Anca Damian;
Anders Rønnow Klarlund;" rufnnow  born , is a danish author, director and screenwriter. together with the danish author jacob weinreich he is also known as a. j. kazinski. together they have published the last good man and ""the sleep and the death""."
