director_name,original_language,nb
	Cheung Chi-Sing,en,4
	Raymond Fung Sai-Hung,cn,1
 	Huang Jian-Zhong,zh,3
 	Zhang Jing,zh,2
    Faris Kermani ,en,2
 Anna van Keimpema,nl,2
 Barnaby Southcombe,en,1
 Ben Caron,en,1
 Dale Trevillion	 ,en,5
 Davide Manuli,en,2
 E.W. Swackhamer,en,21
 Henrik Georgsson,en,1
 Huang Chien-Liang,en,1
 Hugues Martin,fr,1
 Jeon Hyung-jun,ko,1
 Joy Fleury ,en,1
 Lim Dae-Woong,ko,1
 Nelson Venkatesan,ta,1
 P Sagaya Suresh,ta,1
 Sean J. Vincent,en,1
 Thanya Phowijit,th,1
 Tôru Hosokawa,ja,2
 Vitaliy Vorobyov,ru,4
 Yeon Sang-Ho,ko,7
 Yoon Jae-goo,ko,2
%20,en,2
'Evil' Ted Smith,en,1
300ml,pt,2
4608,en,1
50 Cent,en,1
A K Dolven,en,8
A K Sajan,en,1
A Mohan Gandhi,en,1
A R Badul,en,11
A Ragavendra Prasad,ta,1
A S Ravikumar Chowdhary,en,1
A. B. Mughan,en,1
A. Barr-Smith,en,2
A. Barrere,en,1
A. Bhaskar Rao,en,1
A. Bhimsingh,en,10
A. Blaine Miller,en,1
A. C. Durai,ta,1
A. C. Mugil,ta,1
A. C. Tirulokchandar,en,1
A. C. Trilogchander,en,14
A. Dean Bell,en,2
A. Edward Sutherland,en,39
A. Fernández,es,1
A. G. Amid,ta,1
A. Gokul Krishna,ta,1
A. Govindamurthy,en,1
A. Hans Scheirl,en,4
A. Harris,id,2
A. J. Bond,en,1
A. James Gee,en,1
A. Jawahar,en,1
A. Jonathan Benny,en,1
A. K. Lohithadas,ml,7
A. Karunakaran,en,5
A. Kasilingam,en,4
A. Keewatin Dewdney,en,1
A. L. Abanindran,ta,1
A. L. Raja,en,1
A. L. Vijay,ta,10
A. Lakshmikanthan,en,1
A. Legrew,de,1
A. M. R. Ramesh,ta,2
A. Mallikarjun,te,1
A. Martin Zweiback,en,1
A. Megan Turnbull,en,1
A. Michael Colton,en,1
A. N. Rajagopal,en,1
A. Nugis,et,1
A. Osokina,ru,1
A. P. Nagarajan,en,11
A. Quincampoix,fr,1
A. R. Rajasekar,ta,1
A. Rachman,id,2
A. Rahim,en,1
A. Rajasekhar,ta,1
A. Razak Mohaideen,en,29
A. S. A. Samy,en,2
A. Salaam,en,1
A. Sarkunam,ta,3
A. Sayeeda Moreno,en,1
A. Senthil Kumar,ta,1
A. Susan Svehla,en,3
A. T. Krishnaswami,en,1
A. Taner Elhan,tr,3
A. Todd Smith,en,2
A. V. Francis,en,1
A. V. Meiyappan,en,1
A. Venkatesh,en,16
A. Vincent,ml,5
A. Wise Guy,en,1
A. Zaitsev,en,1
A.A. Krovek,en,1
A.B. Stone,en,2
A.C. Abadie,en,2
A.D. Barker,en,1
A.D. Calvo,en,6
A.D. Cooper,en,3
A.D. Freese,en,1
A.E. Coleby,en,7
A.E. Weed,en,2
A.F. Benaza,en,1
A.F. Erickson,en,2
A.J. Briones,en,2
A.J. Carter,en,1
A.J. Edwards,en,2
A.J. Hixon,en,2
A.J. Jamal,en,1
A.J. Kardar,ur,1
A.J. Marianos,el,1
A.J. Mattioli,en,2
A.J. Villiers,en,1
A.K. Sajan,ml,1
A.K. Strom,en,1
A.O. Väisänen,en,1
A.P Gonzalez,en,1
A.P. Stevens,en,1
A.R. Harwood,en,6
A.R. Murugadoss,ta,6
A.R.Raja,en,1
A.S. Ravi Kumar Chowdary,en,3
A.S.A. Sami,en,1
A.T. Abu,ml,1
A.V. Bramble,en,3
A.Vladycuk,en,1
A.W. Feidler,en,1
A.W. Gryphon,en,1
A.W. Sandberg,da,8
A.W. Uhlig,de,1
A.W. Vidmer,en,1
ADV. Babu Raj,en,2
AES+F,en,1
AHMED AFAZIL,en,1
AJ Dakoulas,en,4
AJ Jankel,en,1
AJ Kparr,en,1
AJ Meadows,en,1
AJ Pinkerton,en,1
AJ Schnack,en,6
AJ Wedding,en,1
AK Michael,en,1
ALIMO,ja,2
ANDY AMENECHI,en,1
ANER PREMINGER,en,2
ANTHONY STORM,en,1
AR Sulaiman,en,1
AR. Suresh,en,4
ARJ Velu,en,1
ARK Saravanan,ta,1
Aad van Toor,nl,2
Aadharsh,ta,1
Aadish Keluskar,en,1
Aage Rais-Nordentoft,da,2
Aage Wiltrup,da,1
Aakash Motiani,en,2
Aama Bombo,en,1
Aamir Bashir,en,1
Aamir Khan,hi,1
Aaref Rodriguez,en,2
Aaren Stade,en,2
Aarne Tarkas,fi,7
Aaron Aites,en,2
Aaron Allard,en,1
Aaron Allred,de,1
