,name,ceremony,year,category,outcome,simplified_outcome
1,steven spielberg,"Academy Awards, USA",2016,Oscar,Nominated,Nominated
2,steven spielberg,"Academy Awards, USA",2013,Oscar,Nominated,Nominated
3,steven spielberg,"Academy Awards, USA",2012,Oscar,Nominated,Nominated
4,steven spielberg,"Academy Awards, USA",2007,Oscar,Nominated,Nominated
5,steven spielberg,"Academy Awards, USA",2006,Oscar,Nominated,Nominated
6,steven spielberg,"Academy Awards, USA",1999,Oscar,Won,Won
7,steven spielberg,"Academy Awards, USA",1999,Oscar,Nominated,Nominated
8,steven spielberg,"Academy Awards, USA",1994,Oscar,Won,Won
9,steven spielberg,"Academy Awards, USA",1987,Irving G. Thalberg Memorial Award,Won,Won
10,steven spielberg,"Academy Awards, USA",1986,Oscar,Nominated,Nominated
11,steven spielberg,"Academy Awards, USA",1983,Oscar,Nominated,Nominated
12,steven spielberg,"Academy Awards, USA",1982,Oscar,Nominated,Nominated
13,steven spielberg,"Academy Awards, USA",1978,Oscar,Nominated,Nominated
14,steven spielberg,"Golden Globes, USA",2013,Golden Globe,Nominated,Nominated
15,steven spielberg,"Golden Globes, USA",2008,Cecil B. DeMille Award,Won,Won
16,steven spielberg,"Golden Globes, USA",2006,Golden Globe,Nominated,Nominated
17,steven spielberg,"Golden Globes, USA",2002,Golden Globe,Nominated,Nominated
18,steven spielberg,"Golden Globes, USA",1999,Golden Globe,Won,Won
19,steven spielberg,"Golden Globes, USA",1998,Golden Globe,Nominated,Nominated
20,steven spielberg,"Golden Globes, USA",1994,Golden Globe,Won,Won
21,steven spielberg,"Golden Globes, USA",1986,Golden Globe,Nominated,Nominated
22,steven spielberg,"Golden Globes, USA",1983,Golden Globe,Nominated,Nominated
23,steven spielberg,"Golden Globes, USA",1982,Golden Globe,Nominated,Nominated
24,steven spielberg,"Golden Globes, USA",1978,Golden Globe,Nominated,Nominated
25,steven spielberg,"Golden Globes, USA",1976,Golden Globe,Nominated,Nominated
26,steven spielberg,Primetime Emmy Awards,2016,Primetime Emmy,Nominated,Nominated
27,steven spielberg,Primetime Emmy Awards,2010,Primetime Emmy,Won,Won
28,steven spielberg,Primetime Emmy Awards,2006,Primetime Emmy,Nominated,Nominated
29,steven spielberg,Primetime Emmy Awards,2003,Primetime Emmy,Won,Won
30,steven spielberg,Primetime Emmy Awards,2002,Primetime Emmy,Won,Won
31,steven spielberg,Primetime Emmy Awards,2002,Primetime Emmy,Nominated,Nominated
32,steven spielberg,Primetime Emmy Awards,1996,Primetime Emmy,Won,Won
33,steven spielberg,Primetime Emmy Awards,1995,Primetime Emmy,Nominated,Nominated
34,steven spielberg,Primetime Emmy Awards,1991,Primetime Emmy,Nominated,Nominated
35,steven spielberg,Primetime Emmy Awards,1986,Primetime Emmy,Nominated,Nominated
36,steven spielberg,BAFTA Awards,2016,David Lean Award for Direction,Nominated,Nominated
37,steven spielberg,BAFTA Awards,2016,BAFTA Film Award,Nominated,Nominated
38,steven spielberg,BAFTA Awards,2016,BAFTA Children's Award,Nominated,Nominated
39,steven spielberg,BAFTA Awards,2013,BAFTA Film Award,Nominated,Nominated
40,steven spielberg,BAFTA Awards,2012,BAFTA Film Award,Nominated,Nominated
41,steven spielberg,BAFTA Awards,2009,BAFTA Games Award,Won,Won
42,steven spielberg,BAFTA Awards,1999,BAFTA Film Award,Nominated,Nominated
43,steven spielberg,BAFTA Awards,1999,David Lean Award for Direction,Nominated,Nominated
44,steven spielberg,BAFTA Awards,1994,David Lean Award for Direction,Won,Won
45,steven spielberg,BAFTA Awards,1994,BAFTA Film Award,Won,Won
46,steven spielberg,BAFTA Awards,1986,Academy Fellowship,Won,Won
47,steven spielberg,BAFTA Awards,1983,BAFTA Film Award,Nominated,Nominated
48,steven spielberg,BAFTA Awards,1979,BAFTA Film Award,Nominated,Nominated
49,steven spielberg,BAFTA Awards,1976,BAFTA Film Award,Nominated,Nominated
50,steven spielberg,AACTA International Awards,2013,AACTA International Award,Nominated,Nominated
51,steven spielberg,AARP Movies for Grownups Awards,2013,Movies for Grownups Award,Won,Won
52,steven spielberg,AARP Movies for Grownups Awards,2006,Movies for Grownups Award,Won,Won
53,steven spielberg,AARP Movies for Grownups Awards,2003,Movies for Grownups Award,Nominated,Nominated
54,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",2017,Saturn Award,Nominated,Nominated
55,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",2012,Saturn Award,Nominated,Nominated
56,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",2009,Saturn Award,Nominated,Nominated
57,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",2006,Saturn Award,Nominated,Nominated
58,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",2003,Saturn Award,Won,Won
59,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",2002,Saturn Award,Won,Won
60,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",2002,Saturn Award,Nominated,Nominated
61,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",1998,Saturn Award,Nominated,Nominated
62,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",1994,Saturn Award,Won,Won
63,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",1994,President's Award,Won,Won
64,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",1985,Saturn Award,Nominated,Nominated
65,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",1983,Saturn Award,Nominated,Nominated
66,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",1982,Saturn Award,Won,Won
67,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",1978,Saturn Award,Won,Won
68,steven spielberg,"Academy of Science Fiction, Fantasy & Horror Films, USA",1978,Saturn Award,Nominated,Nominated
69,steven spielberg,Alliance of Women Film Journalists,2013,EDA Award,Nominated,Nominated
